Ah!,あー
Oh!,あー
Alas!,あー
Yes,あー
Indeed,あー
That is correct,あー
Hey!,あー
Yo!,あー
Uh huh,あー
Yeah yeah,あー
Right,あー
Gotcha,あー
ERwin,あーうぃん
archiver,あーかいば
archiver,あーかいばー
archiving,あーかいびんぐ
archive,あーかいぶ
archiving destination,あーかいぶさき
archives,あーかいぶず
archive attribute,あーかいぶぞくせい
archived file,あーかいぶたいしょうふぁいる
archive data set,あーかいぶでーたせっと
archive bit,あーかいぶびっと
archive file,あーかいぶふぁいる
argyle,あーがいる
argyle check,あーがいるちぇっく
argyle check,あーがるちぇっく
ARCHIE,あーきー
archetype,あーきたいぷ
architecture,あーきてくちゃ
architecture,あーきてくちゃー
architecture,あーきてくちゅあ
architect,あーきてくと
architrave,あーきとれーぶ
argument,あーぎゅめんと
arc,あーく
arch-,あーく
arc energy,あーくえねるぎー
arc spectrum,あーくすぺくとる
arc cutting,あーくせつだん
arctangent,あーくたんじぇんと
Arctic,あーくてぃっく
arc light,あーくとう
arc light,あーくとう
arc discharge,あーくほうでん
arc welding,あーくようせつ
arc light,あーくらいと
arc furnace,あーくろ
archaic,あーけいっく
archaic smile,あーけいっくすまいる
arcade,あーけーど
shopping arcade,あーけーどがい
arcade game,あーけーどげーむ
ergonomics,あーごのみっくす
Arthurian romances,あーさーおうものがたり
arsine,あーしん
earth,あーす
ground,あーす
earth color,あーすからー
earth colour,あーすからー
earthquake,あーすくぇいく
ground (earth) wire,あーすせん
earthed line,あーすせん
earth dam,あーすだむ
grounded (or earthed) outlet,あーすたんしづきのえーしーこんせんと
grounding (or grounded) type plug,あーすたんしづきぷらぐ
Earth Day (April 22nd),あーすでい
Earth Day (April 22nd),あーすでー
earth band,あーすばんど
earth strap,あーすばんど
strap snug,あーすばんど
ground strap,あーすようすとらっぷ
ground line,あーすらいん
arsenal,あーせなる
arch,あーち
homerun (baseball),あーち
ARCHIE,あーちー
archery,あーちぇりー
arch shaped,あーちがた
arched,あーちがた
arch bridge,あーちきょう
arching,あーちさよう
artisan,あーちざん
artist,あーちすと
musician,あーちすと
arch dam,あーちだむ
artifact,あーちふぁくと
archer,あーちゃー
urchin,あーちん
Arts and Crafts Movement,あーつあんどくらふつうんどう
articulation,あーてぃきゅれーしょん
article,あーてぃくる
artistic,あーてぃすてぃっく
artistic impression,あーてぃすてぃっくいんぷれっしょん
artist,あーてぃすと
musician,あーてぃすと
